Session,Place,Date,President,Lat,Lon
"54th Session",Meerut,"Nov. 23-24, 1946","J.B. Kripalani",28.9845,77.7064
"53rd Session",Ramgarh,"Mar. 19-20, 1940","Maulana Abul Kalam Azad",23.6524,85.5612
"52nd Session",Tripuri,"Mar. 10-12, 1939","Subhash Chandra Bose",23.1815,79.9864
"51st Session",Haripura,"Feb. 19-21, 1938","Subhash Chandra Bose",21.3931,73.4769
"50th Session",Faizpur,"Jul. 12-14, 1937","Pt Jawaharlal Nehru",21.1644,75.8621
"49th Session",Lucknow,"Jun. 18-20, 1936","Pt Jawaharlal Nehru",26.8467,80.9462
"48th Session",Bombay,"Oct. 24-28, 1934","Dr. Rajendra Prasad",19.0760,72.8777
"47th Session",Calcutta,"Sep. 12-14, 1933","Mrs. Nellie Sengupta",22.5726,88.3639
"45th Session",Karachi,"Mar. 21-31, 1931","Vallabbhai J. Patel",24.8607,67.0011
"44th Session",Lahore,"Apr. 16-18, 1929","Pt Jawaharlal Nehru",31.5204,74.3587
"43rd Session",Calcutta,"Dec. 29-01, 1929","Motilal Nehru",22.5726,88.3639
"42nd Session",Madras,"Dec. 26-28, 1927","M.A. Ansari",13.0827,80.2707
"41st Session",Guwahati,"Dec. 26-28, 1926","S. Srinivasa Iyengar",26.1445,91.7362
"40th Session",Kanpur,"Apr. 15-17, 1925","Mrs. Sarojini Naidu",26.4499,80.3319
"39th Session",Belgaum,"Dec. 26-27, 1924","M.K. Gandhi",15.8497,74.4977
"Special Session",Delhi,"Sep. 04-08, 1923","Maulana Abul Kalam Azad",28.7041,77.1025
"37th Session",Gaya,"Dec. 26-31, 1922","Deshbandhu Chittaranjan Das",24.7914,85.0002
"36th Session",Ahmedabad,"Dec. 27-28, 1921","Hakim Ajmal Khan (Acting President for C.R. Das)",23.0225,72.5714
"35th Session",Nagpur,"Dec. 26-30, 1920","C. Vijayaraghavachariar",21.1458,79.0882
"34th Session",Amritsar,"Dec. 26-30, 1919","Motilal Nehru",31.6340,74.8723
"(Special Session)",Bombay,"Aug. 29-01, 1918","Syed Hasan Imam",19.0760,72.8777
"33rd Session",Delhi,"Dec. 26-30, 1918","Madan Mohan Malaviya",28.7041,77.1025
"32nd Session",Calcutta,"Dec. 26-29, 1917","Annie Besant",22.5726,88.3639
"31st Session",Lucknow,"Dec. 26-30, 1916","Ambica Charan Mazumdar",26.8467,80.9462
"30th Session",Bombay,"Dec. 27-29, 1915","Satyendra Prasanna Sinha",19.0760,72.8777
"29th Session",Madras,"Apr. 14-15, 1914","Bhupendra Nath Bose",13.0827,80.2707
"28th Session",Karachi,"Dec. 26-28, 1913","Nawab Syed Mohammed Bahadur",24.8607,67.0011
"27th Session",Bankipore,"Dec. 26-28, 1912","Shri Raghunath Narasinha Mudholkar",25.6211,85.1507
"26th Session",Calcutta,"Dec. 26-28, 1911","Bishan Narayan Dar",22.5726,88.3639
"25th Session",Allahabad,"Dec. 26-29, 1910","Sir William Wedderburn",25.4358,81.8463
"24th Session",Lahore,"Dec. 27-29, 1909","Madan Mohan Malaviya",31.5204,74.3587
"23rd Session",Madras,"Dec. 28-30, 1908","Rash Behari Ghosh",13.0827,80.2707
"23rd Session (Suspended)",Surat,"Dec. 26-27, 1907","Rash Behari Ghosh",21.1702,72.8311
"22nd Session",Calcutta,"Dec. 26-29, 1906","Shri Dadabhai Naoroji",22.5726,88.3639
"21st Session",Banaras,"Dec. 27-30, 1905","Gopal Krishna Gokhale",25.3176,82.9739
"20th Session",Bombay,"Dec. 26-28, 1903","Sir Henry Cotton",19.0760,72.8777
"19th Session",Madras,"Dec. 28-30, 1903","Lal Mohan Ghosh",13.0827,80.2707
"18th Session",Ahmedabad,"Dec. 28-30, 1902","Surendranath Banerjee",23.0225,72.5714
"17th Session",Calcutta,"Dec. 26-28, 1901","Dinshaw Eduljee Wacha",22.5726,88.3639
"16th Session",Lahore,"Dec. 27-29, 1900","N.G. Chandavarkar",31.5204,74.3587
"15th Session",Lucknow,"Dec. 27-29, 1899","Romesh Chunder Dutt",26.8467,80.9462
"14th Session",Madras,"Dec. 29-31, 1898","Ananda Mohan Bose",13.0827,80.2707
"13th Session",Amraoti,"Dec. 27-29, 1897","C. Sankaran Nair",20.9304,77.7588
"12th Session",Calcutta,"Dec. 28-31, 1896","Rahimatullah M. Sayani",22.5726,88.3639
"11th Session",Pune,"Dec. 27-30, 1895","Surendranath Banerjee",18.5204,73.8567
"10th Session",Madras,"Dec. 26-29, 1894","Alfred Webb",13.0827,80.2707
"9th Session",Lahore,"Dec. 27-30, 1893","Shri Dadabhai Naoroji",31.5204,74.3587
"8th Session",Allahabad,"Dec. 28-30, 1892","Womesh Chandra Bonnerjee",25.4358,81.8463
"7th Session",Nagpur,"Dec. 28-30, 1891","P. Ananda Charlu",21.1458,79.0882
"6th Session",Calcutta,"Dec. 26-30, 1890","Pherozeshah Mehta",22.5726,88.3639
"5th Session",Bombay,"Dec. 26-28, 1889","Sir William Wedderburn",19.0760,72.8777
"4th Session",Allahabad,"Dec. 26-29, 1888","George Yule",25.4358,81.8463
"3rd Session",Madras,"Dec. 27-30, 1887","Badruddin Tyabji",13.0827,80.2707
"2nd Session",Calcutta,"Dec. 27-30, 1886","Shri Dadabhai Naoroji",22.5726,88.3639
"1st Session",Bombay,"Dec. 28-30, 1885","Womesh Chandra Bonnerjee",19.0760,72.8777