Name,Place,Region,Lat,Lon
Haldia,"Haldia, West Bengal","Haldia, Hoogly, Bay of Bengal",22.0446,88.0890
Karaikal,"Karaikal, Pondicherry","Eastern coast of India in Karaikal around 300 km along the coast south of Chennai Port and around 360 km along the coast north of Tuticorin Port",10.8364, 79.8451
Paradeep,"Paradip, Odisha","East coast of India in Jagatsinghpur district of Odisha. It is situated at confluence of the Mahanadi river and the Bay of Bengal",20.2678, 86.6564
Marmagao,"South Goa, Goa","Zuari River",15.3889, 73.8166
Vishakhapatnam,"Vishakhapatnam,Andhra Pradesh","Located midway between the Chennai and Kolkata Ports",17.6856, 83.2160
New Mangalore,"Panambur, Mangalore in Karnataka","North of the confluence of Gurupura (Phalguni) river to Arabian sea. It is 170 nautical miles (310 km) south of Mormugao Port and 191 nautical miles (354 km) north of Kochi Port.",12.9281, 74.8222
Jawaharlal Nehru Port,"Navi Mumbai, Maharashtra","Arabian Sea is accessed via Thane Creek",18.9499, 72.9512
Krishnapatnam,"Nellore, Andhra Pradesh","Located about 190 km north of the Chennai Port and 18 km east of the city of Nellore.",14.2546, 80.1094
Mundra,"Mundra, Kutch district, Gujarat","North shores of the Gulf of Kutch near",22.8395, 69.7213
Hazira,"Surat,Gujarat","About 20 miles southwest of Surat",21.1784, 72.6588