"S. No.","Protected Area","State Name","Area Square K.M.","Year of Establishment"
1,Abohar,Punjab,186.5,1988
2,Abubshehar,Haryana,115.3,1987
3,Achanakmar,Chhattisgarh,551.55,1975
4,Adichunchunagiri,Karnataka,0.84,1981
5,"Amba Barwa",Maharashtra,127.11,1997
6,Amchang,Assam,78.64,2004
7,"Nagarjunasagar Srisailam",Telangana,2166.28,1978
8,Andhari,Maharashtra,509.27,1986
9,"Aner Dam",Maharashtra,82.94,1986
10,Arabithittu,Karnataka,13.5,1985
11,Aralam,Kerala,55,1984
12,"Arial Island","Andaman and Nicobar Islands",0.05,1977
13,"Askot Musk Deer",Uttarakhand,600,1986
14,"Asola Bhati",Delhi,27.82,1992
15,Attiveri,Karnataka,2.22,1994
16,Badalkhol,Chhattisgarh,104.45,1975
17,Badarma,Odisha,304.03,1962
18,"Baghmara Pitcher Plant",Meghalaya,0.02,1984
19,Baisipalli,Odisha,168.35,1981
20,Bakhira,"Uttar Pradesh",28.94,1982
21,"Balaram Ambaji",Gujarat,542.08,1989
22,Ballavpur,"West Bengal",2.02,1977
23,Baltal-Thajwas,"Jammu and Kashmir",210.5,1987
24,"Balukhand Konark",Odisha,71.72,1984
25,"Bamboo Island","Andaman and Nicobar Islands",0.05,1977
26,"Bandh Baratha",Rajasthan,199.5,1985
27,Ralamandal,"Madhya Pradesh",2.34,1989
28,Bandli,"Himachal Pradesh",32.11,1962
29,Barail,Assam,326.24,2004
30,Barda,Gujarat,192.31,1979
31,"Barela Jheel Salim Ali",Bihar,1.96,1997
32,Barnadi,Assam,26.22,1980
33,Barnawapara,Chhattisgarh,244.66,1976
34,"Barren Island","Andaman and Nicobar Islands",8.1,1977
35,"Barsey Rhododendron",Sikkim,104,1998
36,Bassi,Rajasthan,138.69,1988
37,"Battimalv Island","Andaman and Nicobar Islands",2.23,1977
38,"Belle Island","Andaman and Nicobar Islands",0.08,1977
39,"Bennett Island","Andaman and Nicobar Islands",3.46,1977
40,Bethuadahari,"West Bengal",0.67,1980
41,Bhadra,Karnataka,492.46,1974
42,Mollem,Goa,133,1967
43,Bhahramgarh,Chhattisgarh,138.95,1983
44,Bhamragarh,Maharashtra,104.38,1997
45,Bhensrodgarh,Rajasthan,229.14,1983
46,Bherjan-Borajan-Padumoni,Assam,7.22,1999
47,Bhimashankar,Maharashtra,130.78,1985
48,Bhimbandh,Bihar,681.99,1976
49,Bhimgad,Karnataka,190.42,2010
50,Bhindawas,Haryana,4.12,1986
51,Bhitarkanika,Odisha,525,1975
52,Bhoramdev,Chhattisgarh,351.24,2001
53,Bibhutibhusan,"West Bengal",0.64,1980
54,"Biligiri Rangaswami Temp",Karnataka,539.52,1987
55,"Bingham Island","Andaman and Nicobar Islands",0.08,1977
56,Binsar,Uttarakhand,47.07,1988
57,"Bir Aishvan",Punjab,2.64,1952
58,"Bir Bhadson",Punjab,10.23,1952
59,"Bir Bunerheri",Punjab,6.5,1952
60,"Bir Dosanjh",Punjab,5.18,1952
61,"Bir Gurdialpura",Punjab,6.2,1977
62,"Bir Mehaswala",Punjab,1.23,1952
63,"Bir Motibagh",Punjab,6.4,1952
64,"Bir Shikargarh",Haryana,7.67,1987
65,"Blister Island","Andaman and Nicobar Islands",0.26,1977
66,"Bluff Island","Andaman and Nicobar Islands",1.14,1977
67,Bondla,Goa,7.95,1969
68,"Bondoville Island","Andaman and Nicobar Islands",2.55,1977
69,Bor,Maharashtra,61.1,1970
70,Brahmagiri,Karnataka,181.29,1974
71,"Brush Island","Andaman and Nicobar Islands",0.23,1977
72,"Buchanan Island","Andaman and Nicobar Islands",9.33,1977
73,Buhvum,Mizoram,94,
74,Burachapori,Assam,44.06,1995
75,Buxa,"West Bengal",267.92,1986
76,Cauvery,Karnataka,1027.53,1987
77,"Cauvery North","Tamil Nadu",504.33,2014
78,Chail,"Himachal Pradesh",16,1976
79,Chakrasila,Assam,45.57,1994
80,Chandaka,Odisha,175.79,1982
81,Nawabganj,"Uttar Pradesh",2.25,1990
82,Chandraprabha,"Uttar Pradesh",78,1976
83,Chandratal,"Himachal Pradesh",38.56,2007
84,"Chanel Island","Andaman and Nicobar Islands",0.13,1977
85,Changthang,Ladakh,4000,1987
86,Chaprala,Maharashtra,134.78,1986
87,Chapramari,"West Bengal",9.6,1976
88,Chhilchila,Haryana,0.29,1986
89,"Chilka (Nalaban)",Odisha,15.53,1987
90,Chimmony,Kerala,85,1984
91,Chincholi,Karnataka,134.88,2012
92,Chinnar,Kerala,90.44,1984
93,Narendrapur,"West Bengal",0.07,1982
94,Chitrangudi,"Tamil Nadu",0.48,1989
95,"Chorao Island",Goa,1.78,1988
96,Chulannur,Kerala,3.42,2007
97,Churdhar,"Himachal Pradesh",55.52,1985
98,"Cinque Islands","Andaman and Nicobar Islands",9.51,1977
99,"City Bird",Chandigarh,0.03,1998
100,"Clyde Island","Andaman and Nicobar Islands",0.54,1977
101,"Cone Island","Andaman and Nicobar Islands",0.65,1977
102,Coringa,"Andhra Pradesh",235.7,1978
103,Cotigao,Goa,85.65,1968
104,"Curlew (B.P.) Island","Andaman and Nicobar Islands",0.16,1977
105,"Curlew Island","Andaman and Nicobar Islands",0.03,1977
106,"Cuthbert Bay","Andaman and Nicobar Islands",5.82,1997
107,"D' Ering Memorial","Arunachal Pradesh",190,1978
108,"Dadra and Nagar Haveli","Dadra and Nagar Haveli",92.16,2000
109,Dalma,Jharkhand,193.22,1976
110,Dampa,Mizoram,500,1985
111,Dandeli,Karnataka,886.41,1987
112,Daranghati,"Himachal Pradesh",171.5,1962
113,"Daroji Bear",Karnataka,82.72,1992
114,Darrah,Rajasthan,80.75,1955
115,Debrigarh,Odisha,346.91,1985
116,Diparbeel,Assam,4.14,1989
117,"Defence Island","Andaman and Nicobar Islands",10.49,1977
118,Deulgaon-Rehkuri,Maharashtra,2.17,1980
119,Dhauladhar,"Himachal Pradesh",982.86,1994
120,Dhyanganga,Maharashtra,205.23,1997
121,Dibang,"Arunachal Pradesh",4149,1991
122,"Dihing Patkai",Assam,111.19,2004
123,"Dot Island","Andaman and Nicobar Islands",0.13,1977
124,"Dottrell Island","Andaman and Nicobar Islands",0.13,1977
125,"Dr. Bhimrao Ambedkar Bird","Uttar Pradesh",4.27,2003
126,"Duncan Island","Andaman and Nicobar Islands",0.73,1977
127,"Eagle Nest","Arunachal Pradesh",217,1989
128,"East Island","Andaman and Nicobar Islands",6.11,1977
129,"East Karbi Anglong",Assam,221.81,2000
130,"East of Inglis Island","Andaman and Nicobar Islands",3.55,1977
131,"Egg Island","Andaman and Nicobar Islands",0.05,1977
132,"Elat Island","Andaman and Nicobar Islands",9.36,1977
133,"Entrance Island","Andaman and Nicobar Islands",0.96,1977
134,Eturnagaram,Telangana,806.15,1953
135,Fakim,Nagaland,6.41,1980
136,"Fambong Lho",Sikkim,51.76,1984
137,Sailana,"Madhya Pradesh",12.96,1983
138,Fudam,"Daman and Diu",2.18,1991
139,"Great Indian Bustard",Gujarat,3.33,?
140,Gahirmatha,Odisha,1435,1997
141,"Galathea Bay","Andaman and Nicobar Islands",11.44,1997
142,"Gamgul Siahbehi","Himachal Pradesh",108.4,1962
143,"Gander Island","Andaman and Nicobar Islands",0.05,1977
144,"Veerangna Durgavati","Madhya Pradesh",23.97,1997
145,"Gangaikondam Spotted Deer","Tamil Nadu",2.88,2013
146,Garampani,Assam,6.05,1952
147,Gautala,Maharashtra,260.61,1986
148,"Gautam Budha",Bihar,138.34,1976
149,"Gautam Budha",Jharkhand,121.14,1986
150,Ghataprabha,Karnataka,29.79,1974
151,"Son Gharial","Madhya Pradesh",41.8,1981
152,Ghodazari,Maharashtra,159,
153,Gir,Gujarat,1153.42,1965
154,"Girjan Island","Andaman and Nicobar Islands",0.16,1977
155,Girnar,Gujarat,178.8,2008
156,Gomardha,Chhattisgarh,277.82,1975
157,"Goose Island","Andaman and Nicobar Islands",0.01,1977
158,"Govind Pashu Vihar",Uttarakhand,485.89,1955
159,"Great Indian Bustard",Maharashtra,366.73,1979
160,"Gudavi Bird Sanctuary",Karnataka,0.73,1989
161,"Gudekote Sloth Bear",Karnataka,38.48,2013
162,Gulmarg,"Jammu and Kashmir",180,1987
163,Gumti,Tripura,389.54,1988
164,"Gundla Brahmeswaram","Andhra Pradesh",1194,1990
165,Hadgarh,Odisha,191.06,1978
166,"Haliday Island","West Bengal",5.95,1976
167,"Harike Lake",Punjab,86,1982
168,Hastinapur,"Uttar Pradesh",2073,1972
169,Hazaribagh,Jharkhand,186.25,1976
170,Hingolgarh,Gujarat,6.54,1980
171,Hirapora,"Jammu and Kashmir",110,1987
172,"Hokarsar Lake","Jammu and Kashmir",13.75,1992
173,"Hollongapar Gibbon",Assam,20.98,1997
174,"Hump Island","Andaman and Nicobar Islands",0.47,1977
175,Idukki,Kerala,70,1976
176,Anamalai,"Tamil Nadu",841.49,1976
177,Orcha,"Madhya Pradesh",44.91,1994
178,"Interview Island","Andaman and Nicobar Islands",133.87,1977
179,Isapur,Maharashtra,37.8,
180,Itanagar,"Arunachal Pradesh",140.3,1978
181,"Surha Tal","Uttar Pradesh",34.32,1989
182,Jaikwadi,Maharashtra,341.05,1986
183,Jaisamand,Rajasthan,52,1955
184,Jambughoda,Gujarat,130.38,1990
185,"James Island","Andaman and Nicobar Islands",2.1,1977
186,"Jamwa Ramgarh",Rajasthan,300,1982
187,Jasrota,"Jammu and Kashmir",25.75,1987
188,"Jawahar Sagar",Rajasthan,153.41,1975
189,Jessore,Gujarat,180.66,1978
190,"Jhajjar Bacholi",Punjab,1.16,1998
191,Jogimatti,Karnataka,100.48,2015
192,"Jorepokhri Salamander","West Bengal",0.04,1985
193,"Jungle Island","Andaman and Nicobar Islands",0.52,1977
194,"Kachchh Desert",Gujarat,7506.22,1986
195,Kaimur,Bihar,1342,1978
196,Kaimur,"Uttar Pradesh",500.73,1982
197,Kais,"Himachal Pradesh",12.61,1954
198,Kalakad,"Tamil Nadu",223.58,1976
199,Kalatop-Khajjair,"Himachal Pradesh",17.17,1958
200,Kalesar,Haryana,54.06,1992
201,Kalsubai,Maharashtra,361.71,1986
202,Kambalkonda,"Andhra Pradesh",71.9,2002
203,Kamlang,"Arunachal Pradesh",783,1989
204,Kanawar,"Himachal Pradesh",107.29,1954
205,Kane,"Arunachal Pradesh",31,1991
206,"Ken Gharial","Madhya Pradesh",45.2,1981
207,Kanjirankulam,"Tamil Nadu",1.04,1989
208,Kanwarjheel,Bihar,63.11,1989
209,Kanyakumari,"Tamil Nadu",457.78,2002
210,Kapilash,Odisha,125.5,2011
211,Kappathagudda,Karnataka,244.15,2015
212,Karaivetti,"Tamil Nadu",4.54,1999
213,Karakoram,Ladakh,5000,1987
214,"Karanja Sohal",Maharashtra,18.32,2000
215,Narsingarh,"Madhya Pradesh",59.19,1978
216,Karikili,"Tamil Nadu",0.61,1998
217,Karlapat,Odisha,147.66,1992
218,Karnala,Maharashtra,4.48,1968
219,Katarniyaghat,"Uttar Pradesh",400.09,1977
220,Katepurna,Maharashtra,73.63,1988
221,"Kathlaur Kushlin",Punjab,7.58,2007
222,Kaundinya,"Andhra Pradesh",357.6,1990
223,Kawal,Telangana,892.23,1965
224,Kedarnath,Uttarakhand,975.2,1972
225,"Kela Devi",Rajasthan,676.38,1983
226,"Panna (Gangau)","Madhya Pradesh",68.14,1979
227,Kesarbagh,Rajasthan,14.76,1955
228,Khalasuni,Odisha,116,1982
229,Khaparwas,Haryana,0.83,1991
230,Khawnglung,Mizoram,35,1991
231,Phen,"Madhya Pradesh",110.74,1983
232,Khijadia,Gujarat,6.05,1981
233,Khokhan,"Himachal Pradesh",14.94,1954
234,"Khongjaingamba Ching",Manipur,0.412,2016
235,Kibber,"Himachal Pradesh",2220.12,1992
236,Kinnerasani,Telangana,635.41,1977
237,Kishanpur,"Uttar Pradesh",227,1979
238,Kitam,Sikkim,6,2005
239,Kodaikanal,"Tamil Nadu",608.95,2013
240,Koderma,Jharkhand,177.35,1985
241,Koka,Maharashtra,100.14,
242,Kolleru,"Andhra Pradesh",308.55,1953
243,Koonthankulam-Kadankulam,"Tamil Nadu",1.29,1994
244,Kothagarh,Odisha,399.5,1981
245,Kottiyoor,Kerala,30.38,2011
246,Koyna,Maharashtra,423.35,1985
247,Krishna,"Andhra Pradesh",194.81,1989
248,Kugti,"Himachal Pradesh",405.49,1962
249,Kuldiha,Odisha,272.75,1984
250,Kumbhalgarh,Rajasthan,608.58,1971
251,Pench,"Madhya Pradesh",118.47,1975
252,Kurinjimala,Kerala,32,2006
253,"Kusheshwar Asthan",Bihar,29.17,1994
254,"Kwangtung Island","Andaman and Nicobar Islands",0.57,1987
255,"Kyd Island","Andaman and Nicobar Islands",8,1977
256,"Kyongnosla Alpine",Sikkim,31,1977
257,Lachipora,"Jammu and Kashmir",80,1987
258,"Lakh Bahosi","Uttar Pradesh",80.24,1979
259,"Lakhari Valley",Odisha,185.87,1985
260,"Lala Great Indian Bustard",Gujarat,2.03,1995
261,"Landfall Island","Andaman and Nicobar Islands",29.48,1977
262,"Lanja Madugu Sivaram",Telangana,29.81,1978
263,"Latouche Island","Andaman and Nicobar Islands",0.96,1977
264,Lawalong,Jharkhand,211,1978
265,Laokhowa,Assam,70.11,1972
266,Lengteng,Mizoram,60,1999
267,Limber,"Jammu and Kashmir",26,1987
268,"Lippa Asrang","Himachal Pradesh",31,1962
269,Lohabarrack,"Andaman and Nicobar Islands",22.21,1977
270,Lonar,Maharashtra,1.17,2000
271,"Lothian Island","West Bengal",38,1976
272,Madei,Goa,208.48,1999
273,Kheoni,"Madhya Pradesh",122.7,1982
274,Maenam,Sikkim,35.34,1987
275,Mahananda,"West Bengal",158.04,1976
276,Mahauaduar,Jharkhand,63.25,1976
277,"Mahavir Swami","Uttar Pradesh",5.41,1984
278,Majathal,"Himachal Pradesh",30.86,1954
279,Malabar,Kerala,74.22,2010
280,"Malai Mahadeshwara",Karnataka,906.19,2013
281,"Malvan Marine",Maharashtra,29.12,1987
282,Manali,"Himachal Pradesh",29,1954
283,"Mangalavanam Bird",Kerala,0.03,2004
