Organisation,City,Lat,Lon
"World Health Organisation (WHO), International Labour Organisation ,International Committee of the Red Cross ,World Trade Organisation ,World Meteorological Organisation (WMO) ,World Intellectual Property Organization (WIPO) ,International Organization for Standardization ,UNAIDS ,World Economic Forum ,United Nations Conference on Trade and Development (UNCTAD) ,United Nations High Commissioner for Refugees (UNHCR) ,UN Office for Disaster Risk Reduction (UNDRR) ,International Telecommunication Union (ITU)","Geneva, Switzerland",46.2044, 6.1432
"International Union of Pure and Applied Chemistry","Zurich, Switzerland",47.3769, 8.5417
"International Union for Conservation of Nature (IUCN), Worldwide Fund for Nature","Gland, Switzerland",46.4203, 6.2699
"United Nations Educational Scientific and Cultural Organisation (UNESCO), Organization for Economic Cooperation and Development (OECD), International Council on Monuments and Sites (ICOMOS)",Paris,48.8566, 2.3522
"International Atomic Energy Agency (IAEA), Organization of Petroleum Exporting Countries (OPEC), United Nations Industrial Development Organization (UNIDO), United Nations Office on Drugs and Crime (UNODC)",Vienna,48.2082, 16.3738
"International Maritime Organisation (IMO), Commonwealth of Nations, Amnesty International",London,51.5074, 0.1278
"Food and Agricultural Organisation (FAO), International Fund for Agricultural Development (IFAD), World Food Programme (WFP)",Rome,41.9028, 12.4964
"North Atlantic Treaty Organisation (NATO), European Union (EU)",Brussels,50.8503, 4.3517
"Universal Postal Union",Berne,46.9480, 7.4474
"Association of Southeast Asian Nations (ASEAN)",Jakarta,6.2088, 106.8456
"Asia-Pacific Economic Cooperation (APEC)",Singapore,1.3521, 103.8198
"Transparency International",Berlin,52.5200, 13.4050
"International Renewable Energy Agency","Abu Dhabi (UAE)",24.4539, 54.3773
"South Asian Association for Regional Cooperation",Kathmandu,27.7172, 85.3240
"Organization of Islamic Cooperation",Jeddah,21.4858, 39.1925
"Indian Ocean Rim Association for Regional Cooperation","Ebene, Mauritius",-20.2419, 57.4896
"Organization for the Prohibition of Chemical Weapons, International Court of Justice (ICJ)","The Hague, The Netherlands",52.0705, 4.3007
"International Olympic Committee","Lausanne, Switzerland",46.5197, 6.6323
"United Nations Environment Programme (UNEP), UN-Habitat","Nairobi, Kenya",1.2921, 36.8219
"United Nations Interregional Crime and Justice Research Institute (UNICRI)","Turin, Italy",45.0703, 7.6869
"International Civil Aviation Organization (ICAO)","Montreal, Canada",45.5017, -73.5673
"United Nations World Tourism Organization (UNWTO)","Madrid, Spain",40.4168,-3.7038
"United Nations Organisation, United Nations Children’s Emergency Fund (UNICEF), United Nations Population Fund (UNFPA), UN Women, United Nations Security Council (UNSC), United Nations Development Programme (UNDP)","New York",40.7128, -74.0060
"International Monetary Fund (IMF), World Bank Group (WBG)","Washington DC",38.9072, -77.0369
"Asian Infrastructure Investment Bank (AIIB)",Beijing,39.9042,116.4074
"New Development Bank / BRICS Bank",Shanghai,31.2304,121.4737
"Asian Development Bank",Manila,14.5995,120.9842
"International Solar Alliance",Gurugram,28.4595,77.0266
"BIMSTEC - Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation",Dhaka,23.8103,90.4125
"South Asia Co-operative Environment Programme",Colombo,6.9271,79.8612
"African Union","Addis Ababa, Ethiopia",8.9806,38.7578
"African Development Bank","Abidjan, Côte d'Ivoire",5.3600,-4.0083
"Eurasian Economic Union (EAEU)",Moscow,55.7558,37.6173
"Mercosur (Southern Common Market)","Montevideo, Uruguay",-34.9011, -56.1645