Battle,Year,Place,"Part of",Winner,Loser,Remarks
"Battle of Pullalur",618,Pullalur,,"Chalukya Dynasty","Pallava Kingdom",
"Battle of Manimangala",640,Manimangala,,"Pallava Kingdom","Chalukya Dynasty",
"Battle of Vatapi",642,Vatapi,,"Pallava Kingdom","Chalukya Dynasty",
"Battle of Sri Purambiyam",879,Thirupurambiyam,"Rise of the Medieval Cholas","Pallava Kingdom","Pandya Kingdom",
"Battle of Takkolam",949,Takkolam,,"Rashtrakuta Dynasty","Chola Empire",
"Battle of Kandalur Salai",1000,Kandalur,,"Chola Empire","Chera Dynasty",
"Battle of Peshawar",1001,Peshawar,,"Ghaznavid Empire","Hindu Shahi",
"Battle of Donur",1007,Donur,,"Chola Empire","Western Chalukya Empire",
"Battle of Chach",1008,Chach,,"Ghaznavid Empire","Hindu Shahi",
"Battle of Koppam",1054,Koppam,,"Chola Empire","Chalukya Dynasty",
"Battle of Kudal-Sangamam",1062,Kudalsangamama,,"Chola Empire","Western Chalukya Empire",
"Battle of Vijayawada",1068,Vijayawada,,"Chola Empire","Western Chalukya Empire",
"First Battle of Tarain",1191,Tarain,,"Chauhan Dynasty","Ghurid Empire",
"Second Battle of Tarain",1192,Tarain,,"Ghurid Empire","Chauhan Dynasty","The victory of Mu'izz al-Din was decisive, he took Bihar province in 1193 eradicating Buddhism in that area."
"Battle of Chandawar",1194,Firozabad,,"Ghurid Empire","Gahadavala Dynasty",
"Battle of Beas River",1285,"Beas River",,"Delhi Sultanate","Mongol Empire",
"Battle of Jalandhar",1298,Jalandhar,,"Delhi Sultanate","Mongol Empire",
"Battle of Sind",1298,Sindh,,"Delhi Sultanate","Mongol Empire",
"Battle of Kili",1299,Kili,,"Delhi Sultanate","Mongol Empire",
"Siege of Ranthombore",1301,Ranthombore,,"Delhi Sultanate","Chauhan Dynasty",
"Siege of Chittorgarh",1303,Chittorgarh,,"Delhi Sultanate","Guhila Dynasty",
"Battle of Amroha",1305,Amroha,,"Delhi Sultanate","Mongol Empire",
"Jaunpur-Bhojpur War",1389,Bihar,,"Jaunpur Sultanate","Ujjainiya Rajputs",
"Battle of Nagaur",1456,Nagaur,,"Rajput Rajya (Participating factions: Mewar Kingdom)","Delhi Sultanate (Participating factions: Nagaur Sultanate and Gujarat Sultanate)",
"Battle of Cochin",1504,Kochi,,"Portuguese Empire Kingdom of Cochin","Samoothiri of Kozhikode",
"Battle of Cannanore",1506,Kannur,,"Portuguese Empire","Delhi Sultanate (Participating factions: Gujarat Sultanate)",
"Battle of Chaul",1508,Chaul,,"Samoothiri of Kozhikode Delhi Sultanate (Participating factions: Gujarat Sultanate)","Portuguese Empire",
"Portuguese conquest of Goa",1510,Goa,,"Portuguese Empire","Bijapur Sultanate",
"Battle of Khatoli",1517,Khatoli,,"Rana Sanga","Ibrahim Lodhi",
"Battle of Dholpur",1519,Dholpur,,"Rana Sanga","Ibrahim Lodhi",
"Battle of Gagron",1519,Gagron,,"Rana Sanga","Mahmud Khilji of Malwa",
"Siege of Mandsaur",1520,Mewar,,"Rana Sanga","Sultan Muzaffar Shah II sent an army under Malik Ayaz","retreated to Gujarat."
"Battle of Panipat",1526,Panipat,"Mughal conquest of India",Babur,"Ibrahim Lodhi",
"Battle of Khanwa",1527,Khanwa,"Mughal conquest of India",Babur,"Rana Sanga",
"Battle of Chanderi",1528,Chanderi,"Mughal conquest of India",Babur,"Medini Rai",
"Battle of Ghaghra",1529,"Ghaghra or Gogara","Mughal conquest of India",Babur,Afghans,
"Battle of Chausa",1539,Chausal,"Mughal conquest of India","Sher shah","Mughal emperor Humayun","Humayun escaped by crossing over the river."
"Battle of Kanauj",1540,"Kanauj or Billgram","Mughal conquest of India","Sher Shah Suri","Mughal emperor Humayun","Sher Shah Suri occupied the city of Agra ."
"Battle of Sammel",1544,Sammel,"Mughal conquest of India",,,
"Battle of Tughlaqabad",1556,Delhi,"Mughal conquest of India","King 'Hem Chandra Vikramaditya'",Akbar,
"Battle of Panipat",1556,Panipat,"Mughal conquest of India","Bairam Khan (for Akbar)","Hem Chandra Vikramaditya (Hemu)",
"Battle of Talikota",1565,Tallikota,,"Unified Army of the five Deccan Sultanates defeated","Vijayanagara Army","Vijayanagara General Ramaraju was killed in the battlefield."
"Battle of Haldighati",1576,Haldighati,"Mughal conquest of India",Akbar,"Rana of Mewar Pratap",
"Battle of Bhuchar Mori",1591,"Bhuchar Mor","Mughal conquest of India","Mirza Aziz Koka","army of Halar",
"Battle of Dewar",1606,"Kingdom of Mewar","Mughal Empire","Amar Singh I","Mughal Empire",
"Battle of Swally",1612,Swally,,"British East India Company",Portuguese,
"Battle of Amritsar",1634,Amritsar,"Mughal-Sikh Wars","Sikh Empire","Mughal Empire",
"Battle of Kartarpur",1635,Kartarpur,"Mughal-Sikh Wars","Sikh Empire","Mughal Empire",
"Battle of Pratapgad",1659,Pratapgad,,"Maratha Empire","Adilshahi Dynasty","Afzal Khan defeated by Shivaji."
"Battle of Kolhapur",1659,Kolhapur,,"Maratha Empire","Adilshahi Dynasty",
"Battle of Pavan Khind",1660,Vishalgad,"Imperial Maratha Conquests","Maratha Empire","Adilshahi Dynasty","10,000-strong Adilshahi army defeated by 300 Marathas under the command of Baji Prabhu Deshpande."
"Battle of Surat",1664,Surat,"Imperial Maratha Conquests","Maratha Empire","Mughal Empire","Surat sacked by the Marathas."
"Battle of Purandar",1665,Purandar,"Imperial Maratha Conquests","Mughal Empire","Maratha Empire","Shivaji surrenders"
"Battle of Sinhagad",1670,Sinhagad,"Imperial Maratha Conquests","Maratha Empire","Mughal Empire",
"Battle of Saraighat",1671,"Modern Guwahati, Assam",,Ahom,Mughals,
"Battle of Aravalli hills",1680,"Aravalli hills",,"Rajput rebbels under Durgadas Rathore",Mughals,
"Battle of Athani",1690,"Athani, Karnataka",,"Maratha Empire","Mughal Empire","One of the Marathas conquests war"
"Battle of Anandpur",1700,Anandpur,"Mughal-Sikh Wars","Sikh Empire","Mughal Empire",
"Battle of Chappar Chiri",1710,Sirhind,"Mughal-Sikh Wars","Sikh Empire","Mughal Empire",
"Battle of Rahon",1710,Rahon,"Mughal-Sikh Wars","Sikh Empire","Mughal Empire",
"Battle of Delhi",1737,Delhi,,"Maratha Empire","Mughal Empire","Delhi looted"
"Battle of Colachel",1741,Colachel,,"Kingdom of Travancore","Dutch East India Company",
"Siege of Trichinopoly",1741,"Trichinopoly, Bengal Subah","Maratha invasions of Bengal","Maratha Empire","Mughal Empire","First of the six Maratha invasions of Bengal, between August 1741 to May 1751."
"Siege of Trichinopoly",1743,Trichinopoly,"Maratha invasions of Bengal","Mughal Empire","Maratha Empire",
"Battle of Madras",1746,Madras,"War of the Austrian Succession","French East India Company","British East India Company",
"Battle of Ambur",1749,Ambur,,"French East India Company, Chanda Sahib, Muzaffar Jung","Nawab of Arcot",
"Siege of Arcot",1751,Arcot,"Second Carnatic War","British East India Company","Nawab of Arcot, French East India Company",
"Battle of Arnee",1751,Arnee,"Second Carnatic War","British East India Company, Maratha","French East India Company, Nawab of Arcot",
"Battle of Chingleput",1752,Chingleput,"Second Carnatic War","British East India Company, Nawab of Arcot","French East India Company",
"Siege of Trichinopoly",1752,Trichinopoly,"Second Carnatic War","British East India Company","French East India Company troops and Chanda Sahib",
"Battle of Golden Rock",1753,"Golden Rock","Second Carnatic War","British East India Company","French East India Company",
"Battle of Seringham",1753,"Srirangam Island","Second Carnatic War","British East India Company","French East India Company troops and Chanda Sahib",
"Siege of Calcutta",1756,Calcutta,,"Nawab of Bengal","British East India Company",
"Battle of Bobbili",1757,Bobbili,,,,
"Battle of Plassey",1757,Plassey,,"Robert Clive","Siraj ud-Daulah",
"Battle of Lahore",1759,Lahore,"Indian Campaign of Ahmad Shah Durrani","Marathas and Sikhs","Durrani Empire",
"Siege of Pondicherry",1760,Pondicherry,"Third Carnatic War","British East India Company","French East India Company",
"Third Battle of Panipat",1761,Panipat,,"Ahmad Shah Abdali",Marathas,
"Battle of Wandiwash",1760,Wandiwash,,"British East India Company","French East India Company",
"Battle of Sialkot",1761,Sialkot,"Indian Campaign of Ahmad Shah Durrani","Sukerchakia misl","Durrani Empire",
"Battle of Gujranwala",1761,Gujranwala,"Indian Campaign of Ahmad Shah Durrani","Sukerchakia Misl","Durrani Empire",
"Battle of Rakshasbhuvan",1763,Rakshasbhuvan,,"Maratha Empire","Nizam of Hyderabad",
"Battle of Buxar",1764,Buxar,,"Hector Munro","Combined armies of Nawab Mir Qasim(Bengal),Nawab Shuja-ud-daulah(Awadh)& Mughal emperor Shah Alam",
"Siege of Ambur",1767,Ambur,"First Anglo-Mysore War","Kingdom of Mysore Hyder Ali","British East India Company",
"Battle of Maonda and Mandholi",1767,"Maonda and Mandholi",,Jaipur,Bharatpur,
"Battle of Maonda and Mandholi",1776,"Maonda and Mandholi",Jaipur-Bharatpur,Jaipur,Bharatpur,
"Battle of Saunshi",1777,Gajendragarh,"Maratha-Mysore War","Kingdom of Mysore","Maratha Empire",
"Siege of Pondicherry",1778,Pondicherry,"American War of Independence","British East India Company","French East India Company",
"Battle of Pollilur",1780,Pollilur,"Second Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Siege of Negapatam",1781,Negapatam,"Second Anglo-Mysore War",British,,
"Battle of Pollilur",1781,Pollilur,"Second Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Battle of Porto Novo",1781,"Porto Novo","Second Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Battle of Sholinghur",1781,Sholinghur,"Second Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Battle of Poona",1781,Pune,,"Maratha Empire","British East India Company",
"Siege of Tellicherry",1782,Tellicherry,"Second Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Siege of Vellore",1782,Vellore,"Second Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Siege of Cuddalore",1783,Cuddalore,"Second Anglo-Mysore War","Kingdom of Mysore","British East India Company",
"Siege of Mangalore",1783,Mangalore,"Second Anglo-Mysore War","Kingdom of Mysore","British East India Company","Hyder Ali dies. Treaty of Mangalore signed."
"Siege of Nargund",1785,Nargund,"Maratha-Mysore War","Kingdom of Mysore","Maratha Empire",
"Siege of Badami",1786,Badami,"Maratha-Mysore War","Maratha Empire","Kingdom of Mysore",
"Siege of Adoni",1786,Adoni,"Maratha-Mysore War","Kingdom of Mysore","Maratha Empire",
"Battle of Gajendragad",1786,Gajendragad,"Maratha-Mysore War","Maratha Empire","Kingdom of Mysore",
"Battle of Savanur","September - October 1786",Savanur,"Maratha-Mysore War","Kingdom of Mysore","Maratha Empire",
"Battle of Lalsot",1787,Lalsot,,"Jaipur and Jodhpur","Mahadaji Shinde",
"Siege of Bahadur Benda",1787/01/01,"Bahadur Benda","Maratha-Mysore War","Kingdom of Mysore","Maratha Empire",
"Battle of the Nedumkotta",1789,Nedumkotta,"Third Anglo-Mysore War",Travancore,"Kingdom of Mysore",
"Battle of Calicut",1790,"Calicut, Malabar coast","Third Anglo-Mysore War","Travancore and British East India Company","Kingdom of Mysore",
"Capture of Cannanore",1790,Cannanore,"Third Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Battle of Sittimungulum",1790,Sittimungulum,"Third Anglo-Mysore War","Kingdom of Mysore","British East India Company",
"Siege of Bangalore",1791,Bangalore,"Third Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Siege of Coimbatore",1791,Coimbatore,"Third Anglo-Mysore War","Kingdom of Mysore","Travancore and British East India Company",
"Siege of Darwar",1791,Darwar,"Third Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Siege of Goorumconda",1791,Goorumconda,"Third Anglo-Mysore War","Nizam of Hyderabad and British East India Company","Kingdom of Mysore",
"Siege of Koppal",1791,Koppal,"Third Anglo-Mysore War","Nizam of Hyderabad and British East India Company","Kingdom of Mysore",
"Siege of Nundydroog",1791,Nundydroog,"Third Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Siege of Savendroog",1791,Savendroog,"Third Anglo-Mysore War","British East India Company","Kingdom of Mysore",
"Battle of Arakere",1791,Arakere,"Third Anglo-Mysore War","Nizam of Hyderabad and British East India Company","Kingdom of Mysore",
"Capture of Hooly Honore",1791,Koodli,"Third Anglo-Mysore War","Maratha Empire and British East India Company","Kingdom of Mysore",
"Siege of Seringapatam",1792,Seringapatam,"Third Anglo-Mysore War","Maratha Empire, Nizam of Hyderabad and British East India Company","Kingdom of Mysore","Tipu sultan is defeated.Treaty of Seringapatam"
"Capture of Shimoga",1792,Shimoga,"Third Anglo-Mysore War","Maratha Empire and British East India Company","Kingdom of Mysore",
"Battle of Mallavelly",1799,Mallavelly,"Fourth Anglo-Mysore War","British East India Company","Kingdom of Mysore","Tipu sultan is defeated and killed."
"Battle of Seedaseer",1799,Seedaseer,"Fourth Anglo-Mysore War","British East India Company","Kingdom of Mysore","Tipu Sultan is defeated and killed."
"Siege of Seringapatam",1799,Seringapatam,"Fourth Anglo-Mysore War","British East India Company","Kingdom of Mysore","Tipu Sultan is defeated and killed."
"Battle of Sultanpet Tope",1799,"Sultanpet Tope","Fourth Anglo-Mysore War","Kingdom of Mysore","British East India Company","Tipu Sultan is defeated and killed."
"Battle of Malpura",1800,Malpura,,"Sawai Pratap Singh","Daulat Rao Sindhia",
"Battle of Panamarathukotta",1802,Wayanad,,"Pazhassi Raja's forces","British East India Company",
"Battle of Assaye",1803,Assaye,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Battle of Delhi",1803,Delhi,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Battle of Laswari",1803,Laswari,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Battle of Argaon",1803,Argaon,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Capture of Gawilghur",1803,Gawilghur,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Battle of Deeg",1804,Deeg,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Battle of Mukandwara Pass",1804,"Mukandwara Pass","Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Battle of Farrukhabad",1804,Farrukhabad,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Siege of Deeg Fort",1804,"Deeg Fort","Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Siege of Delhi",1804,Delhi,"Second Anglo-Maratha War","British East India Company","Maratha Empire",
"Battle of Bharatpur",1805,Bharatpur,"Second Anglo-Maratha War","Maratha Empire","British East India Company",
"Battle of Quilon",1809,"Cantonment Maidan in Quilon",,"British East India Company","Kingdom of Travancore",
"Gurkha-Sikh War",1809,"Kangra Fort","Sikh-Nepali War",Sikh,"Gurkha army",
"Kurichiya revolt",1812,Wayanad,,"British East India Company","Kurichiya and Kurumba tribes",
"Battle of Mahidpur",1817,Mahidpur,,"British East India Company","Maratha Empire",
"Battle of Khadki",1817,Khadki,,"British East India Company","Maratha Empire",
"Battle of Koregaon",1818,"Koregaon Bhima (Pune)",,"British East India Company","Peshwa faction of the Maratha Confederacy",
"Battle of Peshawar",1834,Peshawar,"Afghan-Sikh Wars",Sikh,"Emirate of Afghanistan",
"Battle of Jamrud",1837,Jamrud,"Afghan-Sikh Wars",Sikh,"Emirate of Afghanistan",
"First Anglo-Afghan War",1842,Afghanistan,,"British East India Company","Dost Mohammad Khan (Emir of Afghanistan)",
"Gwalior Campaign",1843,Gwalior,,"British East India Company","Maratha Empire",
"Battle of Ferozeshah",1845,Ferozeshah,"First Anglo-Sikh War","British East India Company","Sikh Empire",
"Battle of Mudki",1845,Mudki,"First Anglo-Sikh War","British East India Company","Sikh Empire",
"Battle of Aliwal",1846,Aliwal,"First Anglo-Sikh War","British East India Company","Sikh Empire",
"Battle of Sobraon",1846,Sobraon,"First Anglo-Sikh War","British East India Company","Sikh Empire",
"Battle of Ramnagar",1848,Ramnagar,"Second Anglo-Sikh War","Sikh Empire","British East India Company",
"Battle of Chillianwala",1849,Chillianwala,"Second Anglo-Sikh War","Sikh Empire","British East India Company",
"Battle of Gujrat",1849,Gujrat,"Second Anglo-Sikh War","British East India Company","Sikh Empire",
"Siege of Multan",1849,Multan,"Second Anglo-Sikh War","British East India Company",Multan,
